GLOBALEVENTID,EventCode,GoldsteinScale,NumMentions,AvgTone,QuadClass,Actor1Geo_CountryCode
677063282,166,-7.0,2,-4.98084291187739,4,
677063290,166,-7.0,6,-4.98084291187739,4,LY
677064197,090,-2.0,2,-6.25,2,HU
677064936,181,-9.0,3,3.49075975359343,4,BG
677065917,090,-2.0,2,-3.6697247706422,2,PL
677067498,072,8.3,1,-5.35987748851455,2,PK
677067494,190,-10.0,6,-5.35987748851455,4,BG
677073788,057,8.0,10,0.0,1,CO
677073790,057,8.0,10,0.0,1,CO
677073786,043,2.8,2,-6.3758389261745,1,CI
677073787,043,2.8,2,-6.3758389261745,1,PE
677073792,042,1.9,2,-6.3758389261745,1,PE
677073791,042,1.9,2,-6.3758389261745,1,PE
677077237,043,2.8,2,-7.7733860342556,1,
677077238,043,2.8,4,-7.7733860342556,1,
677077241,190,-10.0,4,-7.7733860342556,4,BG
677078880,0841,7.0,2,-3.6144578313253,2,UK
677078882,0841,7.0,4,-3.6144578313253,2,UK
677080964,190,-10.0,1,-1.13314447592068,4,BG
677080967,173,-5.0,2,-5.96225569119774,4,BG
677080968,173,-5.0,2,-5.96225569119774,4,BG
677080969,072,8.3,2,-5.96225569119774,2,BG
677080972,173,-5.0,12,-5.96225569119774,4,BG
677080979,190,-10.0,10,-1.13314447592068,4,BG
677080966,190,-10.0,12,-5.96225569119774,4,BG
677080965,190,-10.0,1,-10.7913669064748,4,PK
677082875,0841,7.0,1,-5.74712643678161,2,US
677082869,043,2.8,3,1.52284263959391,1,
677086968,186,-10.0,3,-0.69252077562327,4,LE
677086974,1121,-2.0,1,-0.69252077562327,3,SY
677086976,186,-10.0,1,-0.69252077562327,4,SY
677086958,190,-10.0,2,-7.79436152570481,4,BG
677086960,173,-5.0,1,-7.79436152570481,4,BG
677086961,173,-5.0,1,-7.79436152570481,4,BG
677086962,072,8.3,2,-7.79436152570481,2,BG
677086964,173,-5.0,6,-7.79436152570481,4,BG
677086959,190,-10.0,6,-7.79436152570481,4,BG
677086963,072,8.3,8,-7.79436152570481,2,BG
677092895,046,7.0,2,-4.41542288557214,1,PF
677092897,046,7.0,2,-4.41542288557214,1,PF
677092891,150,-7.2,2,-4.41542288557214,4,JA
677096552,057,8.0,2,-3.84,1,IS
677100111,043,2.8,2,-8.37837837837838,1,
677100112,043,2.8,4,-8.37837837837838,1,
677100115,190,-10.0,4,-8.37837837837838,4,BG
677104669,043,2.8,2,1.94174757281554,1,US
677104664,100,-5.0,10,-3.42465753424658,3,PM
677109191,036,4.0,10,0.89285714285714,1,
677111689,042,1.9,2,-2.78745644599304,1,VM
677111690,043,2.8,5,-2.78745644599304,1,VM
677111701,042,1.9,5,-2.78745644599304,1,VM
677111702,043,2.8,2,-2.78745644599304,1,VM
677115974,030,4.0,10,-8.75576036866358,1,FR
677115975,061,6.4,10,0.0,2,SN
677116573,042,1.9,5,2.55047821466525,1,
677123109,083,5.0,10,0.33140016570008,2,PL
677124679,181,-9.0,3,3.40264650283554,4,BG
677128190,036,4.0,10,2.49480249480249,1,CY
677128191,036,4.0,10,2.49480249480249,1,CY
677128193,051,3.4,2,-5.21541950113379,1,LO
677128194,051,3.4,3,-5.21541950113379,1,LO
