"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-10-20 20:03:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,"Czech Rep.",Armenia,"G / RA",9
2016,Germany,Armenia,"G / RA",221
2016,Germany,Armenia,"G / JR",
2016,Germany,Armenia,"G / NA",5185
2016,Denmark,Armenia,"G / AR",61
2016,Denmark,Armenia,"G / FI",16
2016,Spain,Armenia,"G / FI",90
2016,Estonia,Armenia,"G / FI",6
2016,Finland,Armenia,"G / FI",2
2016,Finland,Armenia,"G / RA",
2016,France,Armenia,"G / AR",766
2016,France,Armenia,"G / RA",158
2016,France,Armenia,"G / RA",216
2016,France,Armenia,"G / FI",1238
2016,"United Kingdom",Armenia,"G / RA",
2016,"United Kingdom",Armenia,"G / AR",4
2016,"United Kingdom",Armenia,"G / FI",39
2016,Georgia,Armenia,"G / FI",2
2016,Greece,Armenia,"G / FI",72
2016,Greece,Armenia,"G / RA",2
2016,Greece,Armenia,"G / AR",19
2016,Hungary,Armenia,"G / RA",1
2016,Hungary,Armenia,"G / FI",43
2016,Hungary,Armenia,"G / FA",
2016,Ireland,Armenia,"G / FI",1
2016,Ireland,Armenia,"G / SP",
2016,Ireland,Armenia,"G / SP",
2016,Iceland,Armenia,"G / FI",3
2016,Italy,Armenia,"G / FI",74
2016,Jordan,Armenia,"U / FI",
2016,"Rep. of Korea",Armenia,"G / FA",
2016,Liechtenstein,Armenia,"G / FI",1
2016,Lithuania,Armenia,"G / FI",13
2016,Luxembourg,Armenia,"G / FI",
2016,Latvia,Armenia,"G / FI",8
2016,"Rep. of Moldova",Armenia,"G / FI",3
2016,"Rep. of Moldova",Armenia,"G / JR",5
2016,Netherlands,Armenia,"G / RA",46
2016,Netherlands,Armenia,"G / FI",50
2016,Norway,Armenia,"G / AR",7
2016,Norway,Armenia,"G / FI",1
2016,Norway,Armenia,"G / RA",1
2016,Panama,Armenia,"G / FI",7
2016,Poland,Armenia,"G / FI",321
2016,Poland,Armenia,"G / AR",16
2016,Romania,Armenia,"G / FI",2
2016,Romania,Armenia,"G / JR",
2016,"Russian Federation",Armenia,"G / TA",3
2016,"Russian Federation",Armenia,"G / FI",2
2016,Slovakia,Armenia,"G / RA",3
2016,Sweden,Armenia,"G / RA",71
2016,Sweden,Armenia,"G / AR",321
2016,Sweden,Armenia,"G / FI",146
2016,Ukraine,Armenia,"G / FI",
2016,Ukraine,Armenia,"G / JR",
2016,"United States of America",Armenia,"G / EO",294
2016,"United States of America",Armenia,"G / IN",249
2016,Australia,"American Samoa","G / FI",
2016,"United Kingdom","American Samoa","G / RA",
2016,"United Kingdom","American Samoa","G / AR",
2016,"United Kingdom","American Samoa","G / FI",
2016,Canada,"Antigua and Barbuda","G / FI",29
2016,France,"Antigua and Barbuda","G / FI",1
2016,"United Kingdom","Antigua and Barbuda","G / FI",3
2016,"United Kingdom","Antigua and Barbuda","G / AR",
2016,"United Kingdom","Antigua and Barbuda","G / RA",
2016,"Trinidad and Tobago","Antigua and Barbuda","U / FI",2
2016,"United States of America","Antigua and Barbuda","G / EO",
2016,"United States of America","Antigua and Barbuda","G / IN",
2016,Argentina,Australia,"G / FI",
2016,Austria,Australia,"G / FA",2
2016,Canada,Australia,"G / FI",1
2016,Switzerland,Australia,"G / FI",1
2016,"Costa Rica",Australia,"G / FI",
2016,Germany,Australia,"G / RA",
2016,Germany,Australia,"G / NA",1
2016,"United Kingdom",Australia,"G / RA",
2016,"United Kingdom",Australia,"G / FI",6
2016,"United Kingdom",Australia,"G / AR",
2016,Sweden,Australia,"G / FI",
2016,"United States of America",Australia,"G / EO",
2016,"United States of America",Australia,"G / IN",2
2016,Belgium,Austria,"G / FI",2
2016,Belgium,Austria,"G / RA",
2016,Canada,Austria,"G / FI",
2016,Switzerland,Austria,"G / FI",1
2016,Germany,Austria,"G / JR",
2016,"United Kingdom",Austria,"G / RA",
2016,"United Kingdom",Austria,"G / FI",
2016,"United Kingdom",Austria,"G / AR",
2016,Iceland,Austria,"G / FI",1
2016,Uruguay,Austria,"G / FI",5
2016,"United States of America",Austria,"G / IN",1
2016,Armenia,Azerbaijan,"G / FI",
2016,Australia,Azerbaijan,"G / AR",1
2016,Australia,Azerbaijan,"G / FI",23
2016,Austria,Azerbaijan,"G / FA",63
2016,Belgium,Azerbaijan,"G / JR",14
2016,Belgium,Azerbaijan,"G / FI",44
2016,Belgium,Azerbaijan,"G / RA",26
2016,Bulgaria,Azerbaijan,"G / FI",
2016,Belarus,Azerbaijan,"G / FI",2
2016,Canada,Azerbaijan,"G / FI",212
2016,Switzerland,Azerbaijan,"G / FI",4
2016,Switzerland,Azerbaijan,"G / FI",24
2016,Cyprus,Azerbaijan,"G / FI",1
2016,"Czech Rep.",Azerbaijan,"G / RA",3
2016,"Czech Rep.",Azerbaijan,"G / FI",49
2016,Germany,Azerbaijan,"G / JR",
2016,Germany,Azerbaijan,"G / RA",177
2016,Germany,Azerbaijan,"G / NA",4573
2016,Denmark,Azerbaijan,"G / FI",20
2016,Denmark,Azerbaijan,"G / AR",12
2016,Egypt,Azerbaijan,"U / AR",4
2016,Egypt,Azerbaijan,"U / FI",7
2016,Spain,Azerbaijan,"G / FI",22
2016,Finland,Azerbaijan,"G / FI",11
2016,Finland,Azerbaijan,"G / RA",
2016,France,Azerbaijan,"G / RA",96
2016,France,Azerbaijan,"G / AR",328
2016,France,Azerbaijan,"G / FI",236
2016,France,Azerbaijan,"G / RA",108
2016,"United Kingdom",Azerbaijan,"G / AR",7
2016,"United Kingdom",Azerbaijan,"G / RA",
2016,"United Kingdom",Azerbaijan,"G / FI",30
2016,Georgia,Azerbaijan,"G / FI",19
2016,Greece,Azerbaijan,"G / AR",1
2016,Greece,Azerbaijan,"G / FI",1
2016,Croatia,Azerbaijan,"G / JR",
2016,Croatia,Azerbaijan,"G / FI",1
2016,Hungary,Azerbaijan,"G / FI",1
2016,Hungary,Azerbaijan,"G / FA",
2016,Ireland,Azerbaijan,"G / AR",1
2016,Ireland,Azerbaijan,"G / SP",
2016,Ireland,Azerbaijan,"G / FI",1
2016,Iceland,Azerbaijan,"G / FI",3
2016,Italy,Azerbaijan,"G / FI",7
2016,Lebanon,Azerbaijan,"U / FI",
2016,Liechtenstein,Azerbaijan,"G / FI",2
2016,Lithuania,Azerbaijan,"G / FI",7
2016,Luxembourg,Azerbaijan,"G / AR",
2016,Luxembourg,Azerbaijan,"G / FI",3
2016,Luxembourg,Azerbaijan,"G / RA",10
2016,Luxembourg,Azerbaijan,"G / JR",10
2016,Luxembourg,Azerbaijan,"G / RA",10
2016,Latvia,Azerbaijan,"G / FI",4
2016,Morocco,Azerbaijan,"U / FI",1
2016,"Rep. of Moldova",Azerbaijan,"G / FI",1
2016,Montenegro,Azerbaijan,"G / FA",2
